key,en,ar
landing.header.login,Company login,دخول الشركات
landing.header.title,Hire by yourself with less time,وظف بنفسك ، وبأقل وقت
landing.header.description,Start with us for FREE,إبدأ معنا مجانا
landing.header.button.create,Post a job,اعلن عن وظيفة
landing.header.button.sub_text,,
landing.header.made_with,MADE WITH LOVE,صنع بحب 
landing.header.made_from,in Saudi ARABIA,في السعودية
landing.header.jobs_available,"To apply on jobs, download our app",للتقديم على الوظائف ، حمل تطبيقنا
landing.section.title.trust,Customers who TRUSTED us,العملاء الذين وثقوا بنا
landing.section.title.why,Why to post on Fursatak app ?,لماذا تعلن على تطبيق فرصتك ؟
landing.section.features.title.easy_to_use,Easy to use,سهل الاستخدام
landing.section.features.title.videos,See the candidiates,رؤية المرشحين
landing.section.features.title.effictive,Filter efficiently,تصفية بكفاءة عالية
landing.section.features.title.co_workers,Invite co-workers,قم بدعوة زملائك
landing.section.features.title.privacy,Privacy,الخصوصية
landing.section.features.title.website,Get a website,أحصل على موقع الكتروني
landing.section.features.title.people_around,People around you,مرشحين بالقرب منك
landing.section.features.title.redirect_link,Redirect to link,التوجيه الى رابط
landing.section.features.description.easy_to_use,"We offer you a verity of powerful tools to sort, filter, evaluate and hire fit candidates easily.",نوفر مجموعة من الأدوات الفعالة للفرز ، والتصفية ، وتقيم وتوظيف المرشحين المناسبين بسهولة.
landing.section.features.description.videos,"Now, you are able see real persons and analyse their personality and test their skills and knowledge.",الآن ، بإستطاعتك مشاهدة اشخاص حقيقيين وتحليل شخصياتهم واختبار مهاراتهم ومعرفتهم.
landing.section.features.description.effictive,"Filter-out unwanted applications, using built-in criteria such as age, gender ..etc. Or, build your own evaluation questions.",فلترة الطلبات الغير مرغوب بها عن طريق معايير مثل العمر أو الجنس ..إلخ. أو يمكنك بناء أسئلتك الخاصة للتقييم.
landing.section.features.description.co_workers,We realized that team collaboration in companies leads to successful hiring process. Here you are !,ندرك ان نجاح عملية التوظيف في الشركات مرهونة بتعاون فريق العمل داخل الشرك. إليك ذلك !
landing.section.features.description.privacy,Your business and candidates data is highly confidencial. Only you can see it.,بياناتك منشأتك والمتقدمين على الوظائف التي تطرحها  في سرية تامة ، أنت وحدك من يستطيع مشاهدتها.
landing.section.features.description.website,Need to build a career page for your campany and integrate it with your website ? here you go !,هل تود بناء صفحة توظيف خاصة لشرتك ودمجها مع الموقع الإلكتروني ؟ تفضل !
landing.section.features.description.people_around,See people near to your business first. We know this highly matters to you and to them !,شاهد الأشخاص القريبين من مقرك أولا. نعلم ان ذلك مهم بالنسبة لك ولهم !
landing.section.features.description.redirect_link,"Having your own career website ? No problem , post on our app and let applicants go to your website.",لديك موقع توظيف خاص بك ؟ لامشكلة ، اعلن عن وظيفة على تطبيقنا واجعل المتقدمين يذهبون الى موقعك.
landing.footer.about,"“Fursatak” is trademark owned by Education by Work co. and officially registered with Ministry of Commerce in Kingdom of Saudi Arabia with a CR#2053115777

","""فرصتك"" هي علامة تجارية مملوكة لمؤسسة التعلم بالعمل للموارد البشرية ومسجلة رسميا بوزاة التجارة بالمملكة العربية السعودية بسجل تجاري رقم 2053115777"
landing.footer.vision_title,Our vision,رؤيتنا
landing.footer.vision,We aspire to be the #1 digital platform in human resources (HR) in Kingdom of Saudi Arabia & take the standards to the next level.,نطمح لأن نكون المنصة الرقمية رقم 1 في المملكة العربية السعودية في مجال الموارد البشرية وأن نرتقي بالمعايير إلى مستوى أعلى.
landing.footer.links.privacy,Privacy policy,سياسة الخصوصية
landing.footer.links.terms,Terms of use,شروط الاستخدام 
landing.footer.links.faq,FAQ,الأسئلة الشائعة
landing.footer.copyright,© 2020 Fursatak - All Rights Reserved,© جميع الحقوق محفوظه - فرصتك 2020
,,
login.forget_password,Forget password ?,هل نسيت كلمة المرور؟
forget_password.title,Forget Password,نسيت كلمة السر
,,
header.have_account,Do you have an account?,هل لديك حساب ؟
heder.dont_have_account,Don’t have an account?,ليس لديك حساب ؟
header.registration,Register now,قم بالتسجيل الآن
header.login,Login,تسجيل الدخول
,,
registration.company_data_title,Enter company data,قم بإدخال بيانات الشركه
registration.personal_date_title,Enter autherized person data,قم بإدخال بياناتك الشخص المفوض
,,
dashboard.plan.my_job.name,Job posts,إعلانات الوظائف
dashboard.plan.my_job.description,"View, add & manage your job posts","استعراض, اضافه وإدارة اعلاناتك الوظيفية"
dashboard.plan.membership.name,Your website,موقعك الإلكتروني
dashboard.plan.membership.description,"View and manage your website. you can update logo, change colors & more",مشاهدة وإدارة موقعك الإلكتروني. يمكنك تحديث الشعار الخاص بشركتك و تغيير الألوان والكثير من الخصائص الاخرى.
dashboard.plan.coworkers.name,Co-workers,زملاء العمل
dashboard.plan.coworkers.description,"Invite, delete and change permissions of co-workers",قم بدعوة أو حذف أو تغيير الصلاحيات الممنوحة لزملاء العمل.
dashboard.plan.settings.name,Settings,الإعدادات
dashboard.plan.settings.description,"Modify company profile, membership, users, password, ... and more !",قم بالتعديل على ملف الشركة أو نوع العضوية أو المستخدمين أو كلمة المرور ... والمزيد !
dashboard.plan.upgrade.name,Upgrade your account,قم بترقيه حسابك
dashboard.plan.upgrade.description,"Get a career website, invite co-workers and enjoy unlimited premium features with no extra costs.","أحصل موقع إلكتروني للتوظيف, وأدعوا زملائك بالعمل معك و استمتع بالمميزات المدفوعة بدون تكاليف اضافية."
dashboard.activate_user_email,Please check your email for activation,من فضلك تحقق من رابط التفعيل المرسل على  بريدك الالكتروني
dashboard.good_afternoon,Good afternoon,مساء الخير 
dashboard.good_evening,Good evening,مساء الخير 
dashboard.good_morning,Good morning,صباح الخير
dashboard.click_to_buy,Click here to buy,اضغط هنا للشراء
dashboard.pro_account_expire_date,Will expire after {{expireDays}} days,سيتم انتهاء الاشتراك بعد {{expireDays}} يوم
,,
settings.menu.membership,Membership & Subscriptions,العضوية والإشتراكات
settings.menu.company_profile,Company profile,حساب الشركة
settings.menu.user_profile,User profile (you),حساب المستخدم (أنت)
settings.menu.password,Change password,تغيير كلمة المرور
settings.membership.free,Free,مجانا
settings.membership.pro,Professional,احترافي
settings.current_membership_text,Your current membership is,عضويتك الحاليه هي 
,,
job.search,Search ...,بحث
job.tab_head.title,Job title,المسمى الوظيفي
job.tab_head.date,Date,التاريخ
job.tab_head.status,Status,الحالة
job.tab_head.applications,Applications,الطلبات
job.tab_head.action,Take action,اتخاذ اجراء
job.tab_head.note,write a note (Only seen by you),أكتب ملاحظة (تظهر لك فقط)
job.add_job.step1.title,Start posting on Fursatak APP,إبدأ بالاعلان على تطبيق فرصتك
job.add_job.step1.description,How to apply on the job ?,كيف يمكن التقديم على الوظيفة ؟
job.add_job.step3.title,"See videos, Sort, Filter, Evaluate and Get more information about candidates",تسجيل فيديو ، فرز ، تقييم ، فلترة والحصول على المزيد من البيانات عن المرشحين
job.add_job.step3.description,Add more tools to enhance hiring process 👍,قم بإضافة المزيد من الأدوات لتحسين عملية التوظيف 👍
job.add_job.step4.title,One last step to finish,تبقى خطوة واحدة
job.add_job.step4.description,Setup added tools,قم باعداد الأدوات التي تم اضافتها
job.add_job.step4.section_title.basic,,
job.add_job.step4.section_title.tools,,
job.add_job.type.app.title,Via Fursatak app,عن طريق تطبيق فرصتك
job.add_job.type.app.desc,"We recommend this option. You will get a control panel and tools to Sort, Filter, Evaluate. You can choose the most fit candidiase easily.",ننصح بهذا الخيار، سوف تحصل على لوحة تحكم لإدارة الطلبات مع ادوات للفرز والفلترة والتقييم ويمكنك بكل سهولة اختيار المرشحين الأنسب.
job.add_job.type.email.title,Via email,عن طريق البريد الالكتروني
job.add_job.type.email.desc,Be aware that your email will be publicly visible to let candidates send their application. Pick this choice if you want to.,كن على علم بأن بريدك الإلكتروني سيكون مرئيًا للجميع للسماح للمرشحين بإرسال طلباتهم. اختر هذا الاختيار إذا كنت تريد ذلك.
job.add_job.type.link.title,Via link,عن طريق رابط
job.add_job.type.link.desc,Ideal for companies who have their online recruitment system. Choose this option to direct application the the job post link on your website.,مناسب للشركات التي لديها نظام الكتروني للتوظيف. اختر هذا الخيار لتوجيه طلبات التقديم على الرابط الخاص بالإعلان الوظيفي الخاص بالتقديم.
job.add_job.start_with,Starts with,تبدأ بـ
job.add_job.video.title,Video uploading tool,أداه ارفاق الفيديو
job.add_job.video.description,"With this tool, you are able request videos of real persons and analyse their personality and test their skills and knowledge.",باستخدام هذه الأداة ، يمكنك طلب مقاطع فيديو لأشخاص حقيقيين وتحليل شخصيتهم واختبار مهاراتهم ومعرفتهم.
job.add_job.evaluation.title,Evaluation tool,أداة التقييم
job.add_job.evaluation.description,"Use this tool to evaluate any skill or knowledge in a scle from 0 to 5. Examples: Level of English, Leadership skill, Using MS Excel …etc. Plus, filter by minimum score you assigned.",استخدم هذه الأداه لتقييم اي مهارة أو معرفة بمقياس من 0 الى 5. مثلا : مستوى اللغة الانجليزية ، مهارات القيادة ، استخدام برنامج الاكسل ... الخ. كذلك يمكن تصفية النتائج بناء على النقاط الأدنى المقبولة والتي تحددتها انت.
job.add_job.selection.title,Selection tool,أداة الاختيار
job.add_job.selection.description,"Ask questions with one selection allowed or multiple. Examples: Yes/No, Selecting profissional certificates, making a personal test or technical quiz …etc. Also, apply filters based on answers.","قم بطرح الأسئله اختيار متعدد أو اختيار واحد. مثلا : نعم/لا , اختيار الشهادات الاحترافيه أو اعداد اختبارات شخصيه أو اختبارات فنية... الخ. كما يمكنك تصفية المرشحين بناء على اجاباتهم."
job.add_job.people_nearby.title,People nearby,الأشخاص القريبين
job.add_job.people_nearby.description,"Show applicant close to your company or a specific city, or cities first.",أظهر المتقدمين القريبين من مقر شركتك أو مدينة محددة أو عددة مدن أولا.
job.add_job.people_nearby.sub_title,"Show applicant close to your company or a specific city, or cities first.",أظهر المتقدمين القريبين من مقر شركتك أو مدينة محددة أو عددة مدن أولا.
